X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.98,567.2948461024663,275.16864296837974,145.6483905315572,3.5,3,0.25,5,6.01,10.9
0.74,510.0343986318539,243.9955482578158,198.42079726627327,7.0,5,0.1,2,28.79,37.3
0.64,812.6438298880244,272.64405923198484,145.74286050504858,7.0,3,0.25,1,28.11,36.28
0.71,512.8287645442482,268.54645928046824,220.86771102881912,3.5,4,0.4,4,23.58,26.52
0.98,768.7185789887592,414.2099869976462,109.72318831026546,7.0,3,0.1,3,12.68,22.11
0.68,525.065560784791,268.00478013188064,122.50362722238935,7.0,2,0.0,0,31.78,37.06
0.94,612.8044830355858,418.497317030893,113.86791365804032,3.5,2,0.25,2,7.66,17.29
0.62,708.0678361697381,416.87279478385716,194.8212704861116,7.0,3,0.0,0,35.92,41.93
0.82,611.5805413113599,243.11089742820465,124.25350929990465,3.5,2,0.4,2,9.89,18.45
0.64,511.15398635909395,370.98581195324033,197.52895647065142,3.5,2,0.25,0,27.09,34.8
0.68,723.729206602412,365.7310414299385,170.9033975536726,7.0,2,0.0,0,27.32,36.79
0.98,622.0615881991998,346.1956812476408,193.9879652370006,3.5,2,0.4,4,6.01,14.42
0.71,762.6417275463214,269.72741367458116,194.64567657697577,3.5,4,0.0,0,6.01,14.18
0.98,738.0692067073771,347.0736423643,220.98993314221744,7.0,2,0.1,2,8.8,18.63
0.71,662.6602496867882,297.1820773895409,220.97497050324387,7.0,2,0.25,0,27.79,38.11
0.98,589.55453782799,298.42606865084866,121.89535151584738,7.0,3,0.1,3,13.21,23.86
0.98,738.8543155073202,389.459198788257,110.15950075252135,7.0,2,0.1,1,11.46,20.93
0.71,614.8681369386378,269.66305173381573,108.8463731149448,3.5,2,0.1,5,12.0,23.25
0.94,804.9915001149609,276.069408799653,120.8834034292897,7.0,5,0.1,1,6.01,15.28
0.71,733.383136004984,387.019647738331,108.95935558160502,3.5,5,0.4,4,18.07,26.45
0.71,738.2444662062677,265.80480769747055,110.62916984032118,7.0,2,0.1,0,23.93,29.72
0.86,662.7933345600511,248.69754263520875,123.18491383601503,3.5,3,0.25,4,6.01,15.11
0.9,762.5052697210576,293.06092887535067,217.30175305492503,3.5,4,0.0,0,6.01,10.9
0.62,702.8294291463219,420.0830304656955,115.54366157272689,3.5,4,0.1,3,22.09,28.37
0.76,649.6962889560544,346.44886923649926,221.5504234253819,7.0,5,0.1,5,30.04,36.28
0.94,586.6529658277772,369.6526267673879,109.2765710079145,3.5,3,0.25,0,7.44,15.01
0.98,616.4820271484816,416.6341232056754,121.53732330144055,3.5,3,0.25,2,6.01,13.91
0.86,687.8329912304843,413.43036064101796,172.9947360632236,3.5,4,0.0,0,6.01,14.52
0.66,589.7647998776945,341.40922714488266,194.4142543354753,7.0,2,0.1,0,32.68,41.73
0.64,524.323625664582,245.10579065591517,123.52917798138108,3.5,5,0.1,2,20.65,27.65
0.62,584.8981813873222,343.07125444599325,221.13127195336247,7.0,3,0.4,5,43.1,48.0
0.94,712.5010948520352,389.6464643185601,219.78358159901845,3.5,4,0.4,0,6.01,13.15
0.76,737.8808729973555,243.06028134727242,169.3369039927712,3.5,2,0.0,0,6.01,12.91
0.66,730.6301294025745,391.99011223901795,223.5462481545393,3.5,5,0.25,1,20.35,25.8
0.9,556.5860013451784,289.80429727854255,221.62593847338115,3.5,3,0.1,3,6.01,13.21
0.74,657.8799910169785,292.4022590933388,220.69866461085846,7.0,3,0.25,4,29.98,34.22
0.74,615.3529933429658,295.9217460208475,169.8704317440194,3.5,2,0.1,5,13.27,17.98
0.94,616.9096495519162,362.44538358309677,126.63408800350275,7.0,5,0.1,4,15.89,25.12
0.71,736.3045321691584,244.7849778903277,218.4523629610219,3.5,4,0.1,0,6.1,16.92
0.64,637.8486464219519,318.76818175743693,147.1731795749458,7.0,5,0.4,4,40.51,45.12
0.98,585.9406151693877,341.2787385990755,219.13851145085889,7.0,3,0.4,0,20.28,29.39
0.82,700.3093773241108,290.9757410672478,198.10318608134332,3.5,2,0.0,0,6.01,10.9
0.64,628.932946722246,416.97604543220336,217.4390425136255,7.0,4,0.25,2,41.32,45.76
0.62,614.8979046221655,347.7490923818696,222.15630698078022,3.5,4,0.0,0,20.63,27.27
0.9,634.6117127661744,292.7811758118306,196.52105797414802,3.5,4,0.4,4,6.56,13.9
0.82,624.1353437930783,341.84338528009624,122.55452940963775,7.0,5,0.1,2,23.94,33.12
0.9,712.2908592268068,366.27916729838375,119.5955919130582,7.0,4,0.4,1,22.51,33.65
0.86,515.0469739730245,320.67729987169605,196.43372207396587,7.0,2,0.4,1,31.04,35.03
0.68,659.0230537853438,399.61607330521247,197.04790533421559,3.5,2,0.0,0,17.63,23.74
0.71,754.4394781236991,240.0354299844027,122.04024085710722,7.0,4,0.1,2,21.7,27.16
0.98,782.6963241755409,295.4150643155935,168.44047139365438,7.0,2,0.4,0,11.73,17.47
0.74,758.1555565472258,315.180422273775,194.84337215414538,7.0,2,0.1,2,21.52,30.96
0.62,709.7781979403803,298.16574680712085,166.18129728590125,3.5,3,0.1,5,16.21,24.69
0.82,685.2506101661877,271.083294282795,144.77884830906834,3.5,4,0.4,1,10.17,16.7
0.86,691.121432908897,296.1650161921297,193.74189645756553,7.0,3,0.0,0,13.31,24.35
0.62,806.7465923606061,415.5623518453392,222.99961063882242,7.0,5,0.4,4,40.59,44.11
0.76,558.2123437428332,396.0894593063201,197.53983911705933,3.5,5,0.0,0,15.4,24.4
0.64,564.6363070456729,296.24394130218576,121.58297630494705,3.5,5,0.4,4,28.06,33.69
0.86,560.1498040322233,343.63305240160787,220.30657377625923,7.0,5,0.0,0,21.51,31.1
0.76,525.892393640942,236.64798731359394,119.80362915578857,7.0,3,0.25,5,31.46,35.97
0.64,687.7379085268084,343.58753576529307,218.54325444476993,7.0,2,0.0,0,31.98,38.42
0.76,645.1026672258294,249.7114839057834,192.31825153733672,7.0,3,0.4,1,26.72,35.51
0.66,633.3712809342327,317.82498228988885,173.91518434086052,3.5,4,0.25,2,20.03,27.99
0.82,661.2509568408672,266.1426552159199,169.03608374850796,7.0,4,0.0,0,16.41,29.35
0.64,734.5197005013767,263.14192789588407,109.54826938605292,3.5,2,0.0,0,8.35,21.81
0.76,590.4986881005606,320.0977853281116,148.2436199244344,3.5,2,0.4,2,16.63,25.18
0.98,713.6033604877534,296.4500955531407,197.23732391941985,7.0,5,0.1,0,7.57,18.95
0.94,760.2246870739059,415.10255094762573,119.9980073380363,3.5,3,0.25,4,6.01,10.9
0.82,566.5785437458227,293.88133453843005,221.86300139474525,7.0,4,0.25,1,29.34,33.82
0.82,583.7211262529371,302.22563502080976,190.94132512015068,3.5,5,0.25,0,11.95,22.09
0.64,516.9258755261479,419.2804109976763,122.10747760144743,3.5,4,0.1,1,28.77,33.53
0.66,781.4135577494982,347.22804232055677,173.33965502029534,3.5,2,0.1,5,14.01,19.42
0.71,505.70700500002926,367.47340793203085,220.2306544918348,7.0,5,0.1,5,36.26,43.23
0.71,733.7746519084183,315.8505282647106,172.62615774794514,3.5,5,0.25,5,11.88,22.87
0.64,736.0380634411404,392.4993566246392,196.9849025280163,3.5,2,0.1,1,17.65,25.07
0.86,517.0763642649338,395.5825458876532,115.25339642572088,3.5,2,0.25,1,15.98,19.91
0.62,726.3368583603208,292.3433308671571,197.265863635511,3.5,2,0.0,0,9.49,20.29
0.94,805.4768611069914,269.4071480562042,171.36195497000753,3.5,2,0.25,2,6.01,10.9
0.74,706.2329298012518,293.90061908137864,224.08911572703556,3.5,5,0.4,4,15.56,22.12
0.66,713.2233372215919,349.0506626325608,196.3147230025806,7.0,5,0.4,0,38.78,41.67
0.94,733.6568197080635,346.02556247433574,223.56337760248184,7.0,4,0.0,0,9.09,18.68
0.76,565.59126277393,344.2012360877153,171.88219813603982,3.5,5,0.25,1,17.47,25.62
0.66,672.3162736165273,294.74815105113225,125.65490655952695,3.5,5,0.4,5,22.29,28.64
0.68,611.5681380281845,243.78600253007886,171.76593934829376,3.5,3,0.1,2,12.21,20.62
0.94,597.554022942294,323.19657208770303,122.36849947785403,3.5,3,0.1,5,6.01,11.03
0.66,737.2000722502667,341.4938373269422,149.2437063788537,3.5,4,0.0,0,13.18,21.69
0.71,785.2165383206418,313.92342448722576,145.6161838602375,3.5,2,0.1,3,9.09,18.84
0.66,508.24230287904777,396.33129381221977,172.51100362122298,7.0,2,0.0,0,39.23,46.55
0.76,575.593525067174,343.58956350910444,221.91800751517704,3.5,2,0.1,5,17.15,24.73
0.68,605.0661460864983,319.44927821914723,217.31719070500742,7.0,5,0.25,4,37.12,41.0
0.64,655.6105167850972,419.8954650266153,172.9841691770476,7.0,2,0.4,2,43.1,47.86
0.62,820.5101314091772,318.4321907316655,109.80807165234067,7.0,2,0.1,0,27.51,34.95
0.62,609.090078760011,266.4951399703153,121.9377994142281,7.0,3,0.1,1,33.76,39.28
0.82,792.5084810426673,396.1494350026168,111.64644662722718,7.0,5,0.1,3,20.85,30.15
0.76,781.3238239421971,324.96765472647337,222.8444784935168,7.0,4,0.25,0,23.0,29.49
0.64,670.1610762624282,248.2252484631079,192.88483442827652,7.0,5,0.0,0,27.95,35.21
0.76,585.1314999803071,323.68262951030215,221.37264733934808,3.5,5,0.4,0,17.29,25.37
0.66,585.9384344063257,387.76411707036726,109.57675454535767,3.5,4,0.1,4,23.6,29.91
0.98,813.6566999713216,368.17335545567994,173.5941966052243,7.0,2,0.1,3,6.01,17.16
0.66,766.8827017486295,396.14027406244236,111.05325101098295,7.0,3,0.25,1,33.38,40.67
0.86,660.0425501050325,323.33020240608016,106.95844694096937,7.0,3,0.25,5,21.45,31.49
0.98,572.083827401572,323.11283468022214,194.46609352223513,7.0,4,0.1,5,14.84,22.78
0.98,725.2390738929828,251.56925086342756,168.98016006725368,3.5,2,0.4,5,6.01,10.9
0.71,516.4096772611578,319.7901249415732,219.9819157083586,7.0,3,0.1,0,33.62,40.64
0.62,686.2597294290365,296.1979202316467,195.83856683978283,3.5,2,0.25,5,19.43,29.63
0.64,702.7776775319677,295.51028724780565,123.35574135438077,3.5,5,0.1,4,12.68,22.14
0.71,517.027135733124,390.1286931179126,199.82806270773358,3.5,3,0.25,1,24.78,30.65
0.64,515.4188556731152,245.50030885878957,171.89657875474373,7.0,2,0.0,0,32.42,39.92
0.71,631.2849754363476,245.9079063957171,120.99144829996128,7.0,3,0.25,0,28.17,35.71
0.86,782.7792168235468,370.3922615048651,173.59384025530002,7.0,2,0.0,0,14.67,25.02
0.62,708.5428724165663,366.9807845271484,110.28115809516294,7.0,3,0.25,4,39.63,40.04
0.62,503.74385191064664,372.8048949251903,120.12302655614714,7.0,3,0.1,5,43.1,48.0
0.82,563.665135214829,362.6079798977542,171.84194194313645,3.5,4,0.4,5,19.73,26.26
0.94,640.7946429489339,245.84357427190812,171.12220662443104,7.0,3,0.0,0,8.9,19.4
0.94,820.2352374168637,291.51321575740224,220.8269549583349,7.0,3,0.0,0,6.01,15.25
0.98,756.7983890843126,393.54062212449054,107.06401253293666,7.0,5,0.4,5,18.41,25.77
0.82,766.3207021498692,392.36689250909683,221.5865960580728,3.5,3,0.4,0,11.29,21.15
0.82,763.1987496993913,415.48875995751723,111.74433044851916,7.0,5,0.25,3,24.68,35.2
0.64,583.8590300936712,317.7655992745811,193.74499132451882,3.5,2,0.25,3,23.33,30.53
0.62,661.7190573598956,318.0589939951145,145.88501642998432,3.5,2,0.1,0,16.42,24.87
0.74,694.1955840272203,246.70694923755582,199.25679324625708,7.0,5,0.4,4,27.02,33.48
0.86,686.1704173412961,267.1900803068241,170.25636339898722,3.5,5,0.1,1,6.01,10.9
0.9,591.6648758963074,369.5849937023306,126.39308567502952,3.5,3,0.4,5,13.41,19.95
0.86,681.4252046610865,245.2438305283011,174.1280189492878,7.0,4,0.4,5,19.82,27.57
0.82,654.4642798689255,345.59595070606116,111.77819215699255,3.5,3,0.0,0,6.01,14.3
0.82,687.4902610505359,321.5057826468656,219.91838783971193,3.5,3,0.0,0,6.01,10.9
0.68,688.5399566345627,270.6657358135929,151.98599903486559,7.0,4,0.25,5,28.57,38.65
0.98,514.9091467927378,293.7033310404266,221.6368820125123,7.0,3,0.0,0,13.78,21.55
0.68,560.7811028338833,416.619690818744,197.4189236348597,7.0,2,0.4,5,43.1,48.0
0.66,737.5513950526604,272.4934381547921,196.1132998497942,7.0,5,0.4,3,33.43,38.67
0.64,798.6226671682307,388.3709157714767,221.69985745999242,7.0,5,0.25,2,35.52,37.1
0.64,759.1046062619682,265.0591477053776,193.00824360388916,3.5,4,0.0,0,9.27,17.51
0.98,512.9876515675594,314.67689376086184,197.25215285101564,3.5,5,0.4,4,8.24,18.93
0.76,556.6656065079229,391.32570379432195,149.41561861692202,3.5,2,0.1,4,17.64,24.81
0.94,636.1284314748262,368.6608958965636,125.2353146629403,7.0,4,0.0,0,13.37,23.72
0.98,789.9828575083225,391.5244112809191,193.61388009017952,7.0,5,0.4,1,15.2,20.51
0.68,659.2752711993767,270.3546696777166,110.6641877244659,7.0,2,0.4,0,33.38,38.87
0.64,763.5446460023564,316.3686423504951,142.1365728574757,7.0,5,0.0,0,26.23,33.39
0.82,588.8419759623762,343.26594009219406,199.44425721136994,7.0,2,0.4,0,31.94,38.61
0.66,698.3304887172599,392.5573024762603,218.34667813095135,3.5,3,0.1,1,15.89,26.76
0.64,570.0557944315905,294.84353868680836,218.64875830045128,3.5,2,0.0,0,16.56,25.35
0.64,756.2824088480993,419.03352038424373,125.41123738016223,3.5,5,0.4,3,27.08,31.32
0.86,730.458489345171,411.03681073484614,106.35423297335767,7.0,3,0.4,5,27.86,34.3
0.66,507.79723409998087,418.9890006608229,220.16575657242717,3.5,3,0.0,0,25.0,29.09
0.94,662.6706877355665,368.6990638552579,145.69728621241634,7.0,4,0.25,2,18.59,25.51
0.74,788.017229061828,296.5565003647555,224.12275005732997,3.5,5,0.25,0,7.88,16.14
0.9,761.8904499831373,418.03993150060114,148.539062938102,3.5,5,0.4,2,9.0,15.73
0.94,743.3495225217571,393.1840145894689,145.97071690156372,3.5,2,0.4,3,6.01,11.65
0.66,680.4684590938583,365.048443600173,167.31175874467243,7.0,5,0.1,2,33.88,38.08
0.74,708.5300931834879,341.76452153704327,173.46096999904114,3.5,3,0.25,4,13.46,23.98
0.68,720.5304644407956,375.03722272973494,146.3222806598013,3.5,5,0.4,2,20.27,27.98
0.74,716.0795102668268,365.5522032657722,196.1768137725837,7.0,2,0.4,5,35.48,37.66
0.64,603.1673169146347,249.5403492297264,148.26162336910954,3.5,5,0.1,4,17.42,22.76
0.68,788.2504699465841,272.12714758720296,195.02230115642746,7.0,4,0.0,0,19.21,30.71
0.74,669.8777369677224,243.2497629323956,193.39819648697176,7.0,2,0.0,0,18.54,24.43
0.74,760.5284318748035,268.3646378444606,150.32251842909574,7.0,2,0.1,5,20.52,27.52
0.68,712.0089594990974,244.69953777056014,171.09265249964608,3.5,4,0.25,3,11.1,17.97
0.86,661.3931635282578,414.0083649625565,147.20328857537902,3.5,4,0.25,5,10.41,19.84
0.76,637.4366552895771,270.9620794095712,221.61075869526644,3.5,2,0.1,4,9.73,15.73
0.9,630.3342134467317,252.24437299597588,192.76973636818897,3.5,2,0.1,4,6.01,10.9
0.76,657.4487378149281,393.1233089778637,196.070295762849,7.0,5,0.1,2,29.44,35.15
0.62,563.086761074809,242.5129492410249,123.37311960831533,7.0,5,0.4,2,41.66,45.64
0.82,720.7874773485585,366.95131067668547,149.74975283829636,3.5,2,0.4,4,11.76,18.72
0.68,656.6298188844106,368.8784919182121,147.17214572998736,7.0,3,0.0,0,31.42,38.78
0.62,759.110814014936,316.9447913017534,112.6653308995125,3.5,3,0.25,2,16.08,25.16
0.98,758.2122988996913,242.81163591167078,169.61323390126012,3.5,4,0.25,5,6.01,10.9
0.68,662.0886060869045,319.6402361253253,193.76276133113288,3.5,4,0.1,2,14.17,22.25
0.71,805.7465421423484,370.33286892654684,221.18023541280928,3.5,5,0.0,0,6.41,17.79
0.71,563.2748658858557,315.91423886595254,196.72709188137472,3.5,4,0.0,0,13.41,20.6
0.66,809.854872694231,270.4125787586603,218.4869148694407,3.5,3,0.25,3,12.42,16.89
0.64,658.4608900645278,294.2093376404964,198.08403896632586,7.0,5,0.1,5,32.23,41.08
0.64,731.0798206250302,295.825916489622,114.1377537862172,3.5,2,0.4,2,17.53,25.99
0.62,615.832251583567,339.4628806265206,173.87535877692312,3.5,4,0.1,0,22.01,27.74
0.74,639.5695392482946,319.03874534581877,111.69722117445775,3.5,4,0.1,2,12.6,20.78
0.76,787.2519089436064,289.3173272917378,217.64393833379847,7.0,2,0.4,5,26.05,32.36
0.94,612.2531154822191,366.59110663529424,123.5817384449627,7.0,5,0.0,0,16.48,25.73
0.98,585.366222836725,387.58492567198795,195.4756525942723,3.5,5,0.4,0,6.01,15.4
0.94,631.7315879042683,364.29659123526244,111.106625924947,7.0,3,0.0,0,15.6,25.58
0.98,588.5735530908198,291.7986360786439,171.57212678293925,3.5,4,0.4,0,6.01,14.48
0.86,609.910436749731,368.2231454313245,169.25915468017678,3.5,3,0.4,4,14.11,23.48
0.66,611.1423776225431,389.10350604251283,220.56032314507024,7.0,2,0.25,5,40.21,43.58
0.94,690.5342884756287,268.8535053930404,110.46235753564443,3.5,5,0.25,3,6.01,10.9
0.62,580.3336269814544,408.6977006928074,168.6001196409675,7.0,2,0.0,0,40.99,44.82
0.62,715.9223979153653,243.26740971947734,219.48308931994052,3.5,2,0.4,4,19.21,27.63
0.71,585.1235514504862,297.2280214157958,196.04262329734388,7.0,4,0.1,2,31.49,36.65
0.62,701.4843016187202,411.4975921709835,197.54404312400683,7.0,2,0.0,0,36.73,42.15
0.76,688.0983276129904,249.83666188476627,124.29367863173107,7.0,3,0.0,0,15.66,26.27
0.66,813.0987380716399,318.8417588843023,124.76896104016863,7.0,4,0.0,0,22.22,30.23
0.94,766.5546618987313,369.62464326976965,110.71643226252701,3.5,5,0.25,3,6.01,11.08
0.74,582.2813689633967,245.32567911732957,106.8558052300275,3.5,4,0.0,0,7.03,18.64
0.62,734.0206958995608,395.14382618525644,170.8292085544524,3.5,2,0.25,0,23.22,28.23
0.98,811.1403418387312,319.9660758581277,171.2313825170589,7.0,4,0.4,1,11.8,20.06
0.98,514.1254457767249,412.97710070935443,195.17837142409084,3.5,5,0.0,0,6.01,14.16
0.68,588.2478926024236,318.0159673650446,145.8756639468434,7.0,4,0.0,0,30.59,39.31
0.82,809.0558608014477,373.174163548651,195.0758079626972,7.0,2,0.1,2,16.93,27.2
0.9,775.1635132344471,363.1470802126767,146.91885634650964,7.0,2,0.1,4,13.11,21.37
0.66,678.7341742687286,371.01937391275993,110.98928438439619,3.5,2,0.25,5,20.08,26.0
0.74,612.4084825798925,344.19173382772436,121.46751582598168,3.5,4,0.25,1,16.03,25.16
0.9,518.7438325130321,339.21563549903465,169.769921547302,3.5,4,0.4,2,13.59,18.73
0.66,550.8485623862683,244.14198733435967,147.58372352400002,3.5,5,0.1,2,17.88,23.77
0.98,630.6208395671503,246.57128065233704,147.5428429876019,3.5,3,0.25,5,6.01,10.9
0.71,659.691184655816,245.84036416690836,170.4529112374263,7.0,2,0.25,2,27.98,33.38
0.68,661.644378615745,391.74919658422726,143.1510236779023,3.5,3,0.4,2,21.88,35.13
0.64,520.4697812999414,390.9893065232495,171.28669741712721,3.5,2,0.4,3,34.62,35.39
0.74,584.0278697326565,296.16808802856787,120.77529525387311,7.0,3,0.0,0,28.71,34.12
0.71,805.3664138770501,418.83718041714826,219.4287733231492,3.5,4,0.0,0,10.53,21.16
0.71,703.302179733119,418.3413085677248,112.61490765321061,7.0,4,0.1,0,30.16,39.35
0.68,663.8516115526414,361.93248668714904,174.95023466451715,3.5,2,0.25,2,20.67,27.5
0.62,689.9646647024296,271.47773700529723,173.37514027525313,7.0,3,0.1,4,30.23,38.71
0.64,678.0369945782819,413.97735086628217,222.80059205260278,3.5,2,0.1,4,22.44,30.94
0.62,683.6071127768927,391.5896501750917,173.67967107290087,7.0,3,0.4,3,42.18,48.0
0.98,607.0773310335397,364.45125247662526,172.28483193435753,7.0,5,0.25,5,18.8,25.07
0.62,739.6794077813586,393.6809193239693,121.26874265100487,7.0,3,0.1,0,33.44,42.45
0.94,728.2706453826339,291.5422264208355,124.55484307067755,3.5,4,0.0,0,6.01,10.9
0.82,802.5546356709808,294.7960870481989,121.33448268477683,3.5,2,0.4,2,6.01,15.97
0.76,641.8269874229559,248.70839216541864,172.26450987828983,3.5,3,0.0,0,6.01,15.0
0.98,635.5765848216371,269.48947602397436,169.5599920649819,7.0,2,0.25,1,13.85,22.41
0.86,807.0680406325162,343.98225931495296,199.24320019953265,3.5,2,0.1,2,6.01,11.0
0.68,692.5343704793763,342.7046830415331,170.6320677158544,7.0,4,0.4,5,35.98,44.3
0.82,662.4614648907095,318.0553313672247,145.9117719957716,7.0,3,0.1,4,21.78,30.56
0.71,658.9339321676421,417.7598540064499,222.12614726325899,7.0,4,0.0,0,30.02,39.49
0.98,666.0701097960911,242.1546653817316,171.28178296469486,3.5,5,0.25,3,6.01,10.9
0.98,755.9037833101852,320.51858370790046,123.68362826748276,3.5,3,0.25,4,6.01,10.9
0.76,617.2785397806055,422.00700267965584,148.18204311311976,7.0,4,0.25,0,37.07,42.0
0.76,735.8985922654922,409.42951122265407,169.62742273518646,7.0,4,0.0,0,23.42,31.1
0.98,805.0247816992513,269.3764915692623,110.62560509578218,7.0,3,0.25,3,6.01,15.57
0.9,811.6484992635629,393.0164438024322,120.51163981519643,3.5,2,0.25,2,6.01,12.19
0.68,814.114319768669,393.5526313274368,173.9863668744287,3.5,4,0.25,0,13.76,25.14
0.64,642.5697431660783,315.99457129510995,224.67907744338956,3.5,3,0.1,2,17.18,27.54
0.9,637.538475028234,368.7353588731376,221.06347012765875,7.0,2,0.25,5,25.49,31.8
0.82,809.4091951860253,341.712266739104,221.67710653954143,3.5,5,0.4,2,6.01,16.21
0.94,751.9515362037322,343.3634407055497,108.60513684549028,3.5,4,0.25,4,6.01,11.0
0.68,512.9110969783196,291.13069086954596,123.44481255576075,7.0,2,0.1,3,36.16,40.15
0.9,784.3016095726649,412.2801869306847,145.3105670764878,3.5,4,0.4,4,6.01,15.65
0.86,689.0751509688616,242.8067784948468,220.98387273894716,3.5,4,0.0,0,6.01,10.9
0.62,554.2983548188291,249.83051458813583,123.47432888044038,3.5,3,0.0,0,17.73,25.39
0.86,611.5529316450923,344.4753889947642,199.40411030803185,3.5,5,0.1,2,6.01,13.64
0.76,684.4202063677717,370.80939211820925,168.66258292490505,7.0,2,0.4,2,33.3,37.85
0.86,784.4317765775019,320.5314791361974,109.51927401845454,3.5,4,0.4,2,6.01,15.42
0.64,715.7925215022559,268.058867527059,109.0410167824399,7.0,4,0.0,0,25.79,34.88
0.71,722.2081580837145,267.7536652186287,194.82392284308224,3.5,5,0.25,2,12.2,18.38
0.68,733.7413465900374,272.9008704155772,222.88821880609476,3.5,4,0.1,0,7.84,19.98
0.74,611.2423055697775,394.1160956306854,218.9977478861471,3.5,5,0.0,0,12.53,19.83
0.9,750.7580917192956,416.6492812054104,118.0186524271605,7.0,5,0.25,0,19.62,28.45
0.62,509.2034368944113,385.0724488061454,110.5641072108029,3.5,5,0.1,2,27.78,33.86
0.9,683.9111010128411,272.3267144544921,148.28363106048337,3.5,4,0.0,0,6.01,10.9
0.76,519.1878006110238,241.72489737158205,170.7258005950512,7.0,2,0.25,2,28.37,35.51
0.94,589.5320492749261,421.77743713370165,143.44329806546924,7.0,3,0.4,4,27.5,33.97
0.68,809.6496323394672,394.9024632477159,109.1281295715525,3.5,5,0.25,5,17.92,27.06
0.76,581.2725758187389,418.2961785257304,169.0462489309724,7.0,2,0.1,0,32.42,40.31
0.71,660.5728526617346,414.1390363513005,112.11395950991916,3.5,3,0.0,0,15.26,23.44
0.68,658.70502636059,393.0201781005824,147.94674500805192,7.0,2,0.4,1,41.68,44.42
0.9,513.1637194278849,274.04079392395835,121.27327837496344,7.0,2,0.0,0,16.02,23.37
0.94,587.5828101510482,411.9010643409044,124.39689269972307,7.0,3,0.25,2,22.72,30.08
0.98,586.6417244483697,318.8438645276,194.24820084456778,7.0,3,0.25,5,18.93,23.58
0.62,655.8872759687779,315.7474915369572,122.07017928969984,7.0,5,0.1,5,35.76,39.36
0.62,620.9769422922598,391.01864541023355,107.00288952395374,7.0,5,0.0,0,36.62,43.34
0.74,657.178044645429,293.57721625716715,195.73705480865667,3.5,5,0.0,0,8.21,12.9
0.66,713.4122406232741,323.20471927675896,125.08073624438934,7.0,5,0.0,0,27.83,35.88
0.62,733.7684512231659,271.59333070303364,147.92065974635963,7.0,3,0.1,1,27.28,35.74
0.68,788.4629475855718,387.7987413190077,122.91354955966884,7.0,2,0.25,2,31.01,38.26
0.9,515.2691595803913,247.29940210433477,109.40920975527675,7.0,4,0.25,3,23.46,28.78
0.64,814.8602949116994,292.3513285922743,148.7191757739596,7.0,2,0.0,0,23.13,28.97
0.94,666.3946200343271,364.48046012187126,123.9745826330941,3.5,5,0.0,0,6.01,10.9
0.68,589.7002564728444,293.6876275373264,124.05951099257764,3.5,2,0.0,0,13.5,22.69
0.82,732.5362522361003,393.7082428007031,193.70892356400216,7.0,3,0.25,0,23.12,33.18
